id,course_id,course_name,course_dept_id,credits,lecture_hours,practical_hours,tutorial_hours,regulation,course_type,REGULATION,Year,SEMESTER,for_dept,teaching_dept
1,AD23431,Statistical Analysis and Computing,Artificial Intelligence & Data Science,3,2,2,0,2023,LOT,2023,2,4,Artificial Intelligence & Data Science,Artificial Intelligence & Data Science
2,AD23521,Data Science Laboratory,Artificial Intelligence & Data Science,2,0,4,0,2023,Laboratory,2023,3,5,Artificial Intelligence & Machine Learning,Artificial Intelligence & Machine Learning
3,AD23531,Architecture for Management of Large Data Sets,Artificial Intelligence & Data Science,4,3,2,0,2023,LOT,2023,3,5,Artificial Intelligence & Data Science,Artificial Intelligence & Data Science
4,AD23532,Framework for Data and Visual Analytics,Artificial Intelligence & Data Science,4,3,2,0,2023,LOT,2023,3,5,Artificial Intelligence & Machine Learning,Artificial Intelligence & Machine Learning
5,AD23631,Data Privacy and Security,Artificial Intelligence & Data Science,4,3,2,0,2023,LOT,2023,3,6,Artificial Intelligence & Data Science,Artificial Intelligence & Data Science
6,AD23632,Deep Neural Networks,Artificial Intelligence & Data Science,4,3,2,0,2023,LOT,2023,3,6,Artificial Intelligence & Data Science,Artificial Intelligence & Data Science
7,AD23633,Design Thinking for Innovation in Data Science,Artificial Intelligence & Data Science,2,1,2,0,2023,LOT,2023,3,6,Artificial Intelligence & Data Science,Artificial Intelligence & Data Science
8,AD23722,Project Work (Phase - I),Artificial Intelligence & Data Science,4,0,8,0,2023,Laboratory,2023,4,7,Robotics & Automation,Robotics & Automation
9,AD23821,Project Work (Phase - II),Artificial Intelligence & Data Science,6,0,12,0,2023,Laboratory,2023,4,8,Robotics & Automation,Robotics & Automation
10,AE23211,Fundamentals of Aerospace Engineering ,Aeronautical Engineering,3,3,0,0,2023,Theory,2023,1,2,Aeronautical Engineering,Aeronautical Engineering
11,AE23321,Computer Aided Modelling Laboratory,Aeronautical Engineering,2,0,4,0,2023,Laboratory,2023,2,3,Aeronautical Engineering,Aeronautical Engineering
12,AE23331,Solid Mechanics,Aeronautical Engineering,4,2,2,1,2023,LOT,2023,2,3,Chemical Engineering,Chemical Engineering
13,AE23332,Fluid Mechanics and Fluid Machinery,Aeronautical Engineering,4,2,2,1,2023,LOT,2023,2,3,Aeronautical Engineering,Aeronautical Engineering
14,AE23333,Aero Engineering Thermodynamics,Aeronautical Engineering,4,2,2,1,2023,LOT,2023,2,3,Aeronautical Engineering,Aeronautical Engineering
15,AE23411,Aircraft Structures - I,Aeronautical Engineering,3,2,0,1,2023,Theory,2023,2,4,Aeronautical Engineering,Aeronautical Engineering
16,AE23412,Control Engineering,Aeronautical Engineering,3,3,0,0,2023,Theory,2023,2,4,Aeronautical Engineering,Electrical & Electronics Engineering
17,AE23431,Incompressible Aerodynamics,Aeronautical Engineering,4,2,2,1,2023,LOT,2023,2,4,Aeronautical Engineering,Aeronautical Engineering
18,AE23432,Aircraft Materials and Processes,Aeronautical Engineering,4,3,2,0,2023,LOT,2023,2,4,Aeronautical Engineering,Aeronautical Engineering
19,AE23433,Aircraft Systems and Instruments,Aeronautical Engineering,3,2,2,0,2023,LOT,2023,2,4,Aeronautical Engineering,Aeronautical Engineering
20,AE23511,Aircraft Propulsion,Aeronautical Engineering,3,2,0,1,2023,Theory,2023,3,5,Aeronautical Engineering,Aeronautical Engineering
21,AE23512,Compressible Aerodynamics,Aeronautical Engineering,3,2,0,1,2023,Theory,2023,3,5,Aeronautical Engineering,Aeronautical Engineering
22,AE23513,Flight Dynamics,Aeronautical Engineering,3,2,0,1,2023,Theory,2023,3,5,Aeronautical Engineering,Aeronautical Engineering
23,AE23521,Airframe and Aero Engine Laboratory,Aeronautical Engineering,2,0,4,0,2023,Laboratory,2023,3,5,Aeronautical Engineering,Aeronautical Engineering
24,AE23531,Aircraft Structures - II,Aeronautical Engineering,4,2,2,1,2023,LOT,2023,3,5,Aeronautical Engineering,Aeronautical Engineering
25,AE23611,Rocket Propulsion,Aeronautical Engineering,3,2,0,1,2023,Theory,2023,3,6,Aeronautical Engineering,Aeronautical Engineering
26,AE23612,Composite Materials and Structures,Aeronautical Engineering,3,3,0,0,2023,Theory,2023,3,6,Aeronautical Engineering,Aeronautical Engineering
27,AE23621,Artificial Intelligence and Machine Learning for Aeronautical Engineering,Aeronautical Engineering,2,0,4,0,2023,Laboratory,2023,3,6,Aeronautical Engineering,Aeronautical Engineering
28,AE23622,Jet propulsion Laboratory,Aeronautical Engineering,2,0,4,0,2023,Laboratory,2023,3,6,Aeronautical Engineering,Aeronautical Engineering
29,AE23623,Computational Simulation Laboratory,Aeronautical Engineering,2,0,4,0,2023,Laboratory,2023,3,6,Aeronautical Engineering,Aeronautical Engineering
30,AE23631,Flight Vehicle Design,Aeronautical Engineering,4,3,2,0,2023,LOT,2023,3,6,Aeronautical Engineering,Aeronautical Engineering
31,AE23632,Innovation and Design Thinking for Engineers,Aeronautical Engineering,2,0,2,0,2023,Laboratory,2023,3,6,Aeronautical Engineering,Aeronautical Engineering
32,AE23721,Project Work (Phase - I),Aeronautical Engineering,2,0,4,0,2023,Laboratory,2023,4,7,Robotics & Automation,Robotics & Automation
33,AE23731,Avionics,Aeronautical Engineering,4,3,2,0,2023,LOT,2023,4,7,Aeronautical Engineering,Aeronautical Engineering
34,AE23821,Project Work (Phase - II),Aeronautical Engineering,8,0,16,0,2023,Laboratory,2023,4,8,Robotics & Automation,Robotics & Automation
35,AI23231,Principles of Artificial Intelligence,Artificial Intelligence & Machine Learning,4,3,2,0,2023,LOT,2023,3,5,Information Technology,Information Technology
36,AI23331,Fundamentals of Machine Learning,Artificial Intelligence & Machine Learning,4,3,2,0,2023,LOT,2023,3,6,Information Technology,Information Technology
37,AI23431,Web Technology and Mobile Application,Artificial Intelligence & Machine Learning,3,1,4,0,2023,LOT,2023,2,4,Artificial Intelligence & Machine Learning,Artificial Intelligence & Machine Learning
38,AI23521,Build and Deploy Machine Learning Applications,Artificial Intelligence & Machine Learning,1,0,2,0,2023,Laboratory,2023,3,5,Artificial Intelligence & Machine Learning,Artificial Intelligence & Machine Learning
39,AI23531,Deep Learning,Artificial Intelligence & Machine Learning,4,3,2,0,2023,LOT,2023,3,5,Artificial Intelligence & Machine Learning,Artificial Intelligence & Machine Learning
40,AI23611,Secure Systems Engineering,Artificial Intelligence & Machine Learning,3,3,0,0,2023,Theory,2023,3,6,Artificial Intelligence & Machine Learning,Artificial Intelligence & Machine Learning
41,AI23631,Predictive and Prescriptive Analytics,Artificial Intelligence & Machine Learning,4,3,2,0,2023,LOT,2023,3,6,Artificial Intelligence & Machine Learning,Artificial Intelligence & Machine Learning
42,AI23632,Foundations of Natural Language Processing,Artificial Intelligence & Machine Learning,4,3,2,0,2023,LOT,2023,3,6,Artificial Intelligence & Machine Learning,Artificial Intelligence & Machine Learning
43,AI23633,Design Thinking for Innovation in Machine Learning,Artificial Intelligence & Machine Learning,2,1,2,0,2023,LOT,2023,3,6,Artificial Intelligence & Machine Learning,Artificial Intelligence & Machine Learning
44,AI23711,Social and Ethical Issues in AI,Artificial Intelligence & Machine Learning,1,1,0,0,2023,Theory,2023,4,7,Artificial Intelligence & Machine Learning,Artificial Intelligence & Machine Learning
45,AI23712,Reinforcement Learning,Artificial Intelligence & Machine Learning,3,3,0,0,2023,Theory,2023,4,7,Artificial Intelligence & Machine Learning,Artificial Intelligence & Machine Learning
46,AI23721,Project Work (Phase - I),Artificial Intelligence & Machine Learning,4,0,8,0,2023,Laboratory,2023,4,7,Robotics & Automation,Robotics & Automation
47,AI23821,Project Work (Phase - II),Artificial Intelligence & Machine Learning,6,0,12,0,2023,Laboratory,2023,4,8,Robotics & Automation,Robotics & Automation
48,AT23111,Production Technology - I,Automobile Engineering,3,3,0,0,2023,Theory,2023,1,1,Automobile Engineering,Automobile Engineering
