id,dept_name,date_established,contact_info
29,Administration,1997-06-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email:admin@rajalakshmi.edu.in"
2,Aeronautical Engineering,2004-06-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
31,Another Missing Dept,,
3,Artificial Intelligence & Data Science,2022-06-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
4,Artificial Intelligence & Machine Learning,2020-06-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
5,Automobile Engineering,2005-06-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
6,Biomedical Engineering,2005-06-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
7,Biotechnology,2002-06-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
8,Chemical Engineering,2016-06-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
9,Chemistry,1997-06-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
10,Civil Engineering,2009-06-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
11,Computer Science & Business Systems,2019-06-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
12,Computer Science & Design,2021-06-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
13,Computer Science & Engineering,1997-06-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
14,Computer Science & Engineering (Cyber Security),2023-06-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
15,Electrical & Electronics Engineering,1999-06-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
16,Electronics & Communication Engineering,1997-06-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
17,English,1997-06-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
18,Food Technology,2018-06-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
19,Humanities & Sciences,1997-06-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
20,Information Technology,1998-06-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
21,Management Studies,2002-06-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
22,Mathematics,1997-06-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
