id,course_id,course_name,course_dept_id,credits,lecture_hours,practical_hours,tutorial_hours,regulation,course_type,REGULATION,Year,SEMESTER,for_dept,teaching_dept
1,CS101,Introduction to Programming,Computer Science,3,2,2,0,2023,Theory,2023,1,1,Computer Science,Computer Science
2,CS102,Data Structures,Computer Science,4,3,2,0,2023,LOT,2023,1,2,Computer Science,Computer Science
3,CS201,Algorithms,Computer Science,3,3,0,0,2023,Theory,2023,2,3,Computer Science,Computer Science
4,CS202,Database Systems,Computer Science,4,3,2,0,2023,LOT,2023,2,4,Computer Science,Computer Science
5,CS301,Web Development,Computer Science,3,2,2,0,2023,LOT,2023,3,5,Computer Science,Computer Science
6,CS302,Mobile App Development,Computer Science,4,2,4,0,2023,LOT,2023,3,6,Computer Science,Computer Science
7,CS401,Artificial Intelligence,Computer Science,3,3,0,0,2023,Theory,2023,4,7,Computer Science,Computer Science
8,CS402,Project Work,Computer Science,6,0,12,0,2023,Laboratory,2023,4,8,Computer Science,Computer Science
9,EE101,Basic Electrical Engineering,Electrical Engineering,3,2,2,0,2023,LOT,2023,1,1,Electrical Engineering,Electrical Engineering
10,EE102,Digital Electronics,Electrical Engineering,4,3,2,0,2023,LOT,2023,1,2,Electrical Engineering,Electrical Engineering
11,EE201,Circuit Theory,Electrical Engineering,3,3,0,0,2023,Theory,2023,2,3,Electrical Engineering,Electrical Engineering
12,EE202,Control Systems,Electrical Engineering,4,3,2,0,2023,LOT,2023,2,4,Electrical Engineering,Electrical Engineering
13,EE301,Power Systems,Electrical Engineering,3,2,2,0,2023,LOT,2023,3,5,Electrical Engineering,Electrical Engineering
14,EE302,Electrical Machines,Electrical Engineering,4,3,2,0,2023,LOT,2023,3,6,Electrical Engineering,Electrical Engineering
15,EE401,Power Electronics,Electrical Engineering,3,3,0,0,2023,Theory,2023,4,7,Electrical Engineering,Electrical Engineering
16,EE402,Project Work,Electrical Engineering,6,0,12,0,2023,Laboratory,2023,4,8,Electrical Engineering,Electrical Engineering
17,ME101,Engineering Mechanics,Mechanical Engineering,3,2,2,0,2023,LOT,2023,1,1,Mechanical Engineering,Mechanical Engineering
18,ME102,Thermodynamics,Mechanical Engineering,4,3,2,0,2023,LOT,2023,1,2,Mechanical Engineering,Mechanical Engineering
19,ME201,Fluid Mechanics,Mechanical Engineering,3,3,0,0,2023,Theory,2023,2,3,Mechanical Engineering,Mechanical Engineering
20,ME202,Machine Design,Mechanical Engineering,4,3,2,0,2023,LOT,2023,2,4,Mechanical Engineering,Mechanical Engineering
21,CE101,Surveying,Civil Engineering,3,2,2,0,2023,LOT,2023,1,1,Civil Engineering,Civil Engineering
22,CE102,Structural Analysis,Civil Engineering,4,3,2,0,2023,LOT,2023,1,2,Civil Engineering,Civil Engineering
23,PH101,Mechanics,Physics,3,3,0,0,2023,Theory,2023,1,1,Physics,Physics
24,PH102,Electromagnetism,Physics,4,3,2,0,2023,LOT,2023,1,2,Physics,Physics
25,MA101,Calculus,Mathematics,3,3,0,0,2023,Theory,2023,1,1,Mathematics,Mathematics
26,MA102,Linear Algebra,Mathematics,3,3,0,0,2023,Theory,2023,1,2,Mathematics,Mathematics
27,CS103,Python Programming Lab,Computer Science,2,0,4,0,2023,Laboratory,2023,1,1,Computer Science,Computer Science
28,MA201,Probability and Statistics,Mathematics,3,3,0,0,2023,Theory,2023,2,3,Computer Science,Mathematics
29,PH201,Physics for Engineers,Physics,3,2,2,0,2023,LOT,2023,1,1,Electrical Engineering,Physics
30,MA103,Discrete Mathematics,Mathematics,3,3,0,0,2023,Theory,2023,1,2,Computer Science,Mathematics 
